id,Title,Content,"Image URL","Image Filename","Image Path","Image ID","Image Title","Image Caption","Image Description","Image Alt Text","Image Featured","Attachment URL","Attachment Filename","Attachment Path","Attachment ID","Attachment Title","Attachment Caption","Attachment Description","Attachment Alt Text",Categories,Tags,Date,"Post Type",Permalink
127,"Today's news from London, Berlin, Montréal","<header>
<h1></h1>
&nbsp;

</header><section class=""blogs-content content-editor"">
<h4>We've been super busy these last few weeks, it's about time we put up some news:</h4>
<h4>Cristo started working on one of the most exciting new TV-shows that will see the light of day this year!</h4>
<h4>'New' is actually just half true, the show is a remake co-produced by Channel 4 (UK) and - ta taaa - AMC (US). Basically, that means that Cristo makes his US-debut on a network that has produced killer shows like Breaking Bad, Walking Dead, Mad Men and Hell on Wheels, just to name a few! Could we be any happier? Not at the moment, nope :)</h4>
<h4>While Cristo is producing waves of soundflames in his studio, Philipp is packing up his atelier in Berlin and prepares the big move to Scotland. May he and his family travel safe and sound!</h4>
<h4>Kim's challenge will be the hypothermic 1/2 marathon in Montreal next week. With temperatures of around -25C, let's hope it won't snow too much.</h4>
<h4>Last but not least, the Utopia 2 vinyls are getting pressed as we write this.</h4>
<h4>Cheers!</h4>
</section>",https://freerunartists.com/wp-content/uploads/2017/09/5390623735048fac-HUMANSsynthpic.png,5390623735048fac-HUMANSsynthpic.png,/home/freeruna/public_html/wp-content/uploads/2017/09/5390623735048fac-HUMANSsynthpic.png,1758,5390623735048fac-HUMANSsynthpic,,,,https://freerunartists.com/wp-content/uploads/2017/09/5390623735048fac-HUMANSsynthpic.png,,,,,,,,,Uncategorised,,20150206,post,https://freerunartists.com/todays-news-from-london-berlin-montreal/
129,"Cristo's new OST out TODAY!","&nbsp;

&nbsp;

<section class=""blogs-content content-editor"">
<h4>Get ready for Christmas, the new Utopia 2 double album is available at the <a href=""https://silvascreenmusic.greedbag.com/buy/utopia-2-original-television-sou-0/"" target=""_blank"" rel=""noopener"">Silva Screen store</a></h4>
<h4>(CD, FLAC, mp3) -</h4>
<h4>And fear not, green vinyls are coming next year!</h4>
<h3 class=""center"">Thanks for your support</h3>
<h4 class=""center""></h4>
<h4 class=""center""><a href=""https://soundcloud.com/cristobal-tapia-de-veer/8-bit-trauma"" target=""_blank"" rel=""noopener"">You can listen to 8-Bit-Trauma on Cristo's soundcloud.</a></h4>
</section>",https://freerunartists.com/wp-content/uploads/2017/09/176ba39defce6d96-UTOPIA2-cover-RGB.jpg,176ba39defce6d96-UTOPIA2-cover-RGB.jpg,/home/freeruna/public_html/wp-content/uploads/2017/09/176ba39defce6d96-UTOPIA2-cover-RGB.jpg,1754,176ba39defce6d96-UTOPIA2-cover-RGB,,,,https://freerunartists.com/wp-content/uploads/2017/09/176ba39defce6d96-UTOPIA2-cover-RGB.jpg,,,,,,,,,Uncategorised,,20141215,post,https://freerunartists.com/cristos-new-ost-out-today/
131,"""No kidding, no messing, and no need to reach for the spoon in order to tell the truth: Cristobal Tapia de Veer’s score for Utopia 2 really is the best TV soundtrack of the year.""","<h2>Utopia 2 OST receives 5* by Cultbox, Rob Smedley</h2>
&nbsp;",https://freerunartists.com/wp-content/uploads/2017/09/f1bdf7d56e30efd1-ScreenShot2014-11-28at125003PM.png,f1bdf7d56e30efd1-ScreenShot2014-11-28at125003PM.png,/home/freeruna/public_html/wp-content/uploads/2017/09/f1bdf7d56e30efd1-ScreenShot2014-11-28at125003PM.png,1759,f1bdf7d56e30efd1-ScreenShot2014-11-28at125003PM,,,,https://freerunartists.com/wp-content/uploads/2017/09/f1bdf7d56e30efd1-ScreenShot2014-11-28at125003PM.png,,,,,,,,,Uncategorised,,20141128,post,https://freerunartists.com/no-kidding-no-messing-and-no-need-to-reach-for-the-spoon-in-order-to-tell-the-truth-cristobal-tapia-de-veers-score-for-utopia-2-really-is-the-best-tv-soundtrack-of-the-year/
133,"UTOPIA wins at the international EMMY's: Best drama series","&nbsp;

<section class=""blogs-content content-editor"">
<h3 class=""center"">Congrats to Marc and Dennis, Bekki, Cristo, Sam, Alex and Wayne, Karen and Kudos, all the outstandingly fantastic actors and of course, all others involved in this colourful production!</h3>
<h2 class=""center"">Utopia ends with a BANG - not a whimper</h2>
<h2 class=""center"">Cheers</h2>
</section>",https://freerunartists.com/wp-content/uploads/2017/09/cd4ca7a88499fa42-459535656.jpg,cd4ca7a88499fa42-459535656.jpg,/home/freeruna/public_html/wp-content/uploads/2017/09/cd4ca7a88499fa42-459535656.jpg,1760,cd4ca7a88499fa42-459535656,,,,https://freerunartists.com/wp-content/uploads/2017/09/cd4ca7a88499fa42-459535656.jpg,,,,,,,,,Uncategorised,,20141124,post,https://freerunartists.com/utopia-wins-at-the-international-emmys-best-drama-series/
135,"Cristo again nominated at this year's RTS Awards, UK","&nbsp;

<section class=""blogs-content content-editor"">
<h4>Cristo has again been nominated at the RTS Craft &amp; Design Awards for his Original Score to Utopia, series 2 (won last year).</h4>
<h4>Fingers crossed for December 1st !!!</h4>
</section>",https://freerunartists.com/wp-content/uploads/2017/09/92ad494ce664f60a-ScreenShot2014-11-13at91846AM.png,92ad494ce664f60a-ScreenShot2014-11-13at91846AM.png,/home/freeruna/public_html/wp-content/uploads/2017/09/92ad494ce664f60a-ScreenShot2014-11-13at91846AM.png,1761,92ad494ce664f60a-ScreenShot2014-11-13at91846AM,,,,https://freerunartists.com/wp-content/uploads/2017/09/92ad494ce664f60a-ScreenShot2014-11-13at91846AM.png,,,,,,,,,Uncategorised,,20141113,post,https://freerunartists.com/cristo-again-nominated-at-this-years-rts-awards-uk/
137,"UTOPIA nominated at the EMMY's","&nbsp;

&nbsp;

<section class=""blogs-content content-editor"">
<h3>We are very happy to announce that <strong>UTOPIA</strong> is nominated for an</h3>
<h3>International EMMY award in the category of:</h3>
<ul>
 	<li>
<h3>BEST DRAMA SERIES</h3>
</li>
</ul>
<strong>UTOPIA</strong> is nominated alongside <strong>Prófugos</strong> (HBO Latin-America, Chile), <b>Yae's Sakura </b>
NHK (Japan Broadcasting Corporation, Japan) and <b>The Tunnel </b>
(CANAL+ Original Programming / SKY Atlantic HD / Kudos / Shine France Films,
France).

Winners will receive their Awards November 24th,<i><span class=""blackText""> </span></i><span class=""blackText"">2014 at the 42nd International Emmy® Awards Gala in New York City.</span>

</section>",https://freerunartists.com/wp-content/uploads/2017/09/7a4bbe83da3d9a32-ScreenShot2014-10-14at94017AM.png,7a4bbe83da3d9a32-ScreenShot2014-10-14at94017AM.png,/home/freeruna/public_html/wp-content/uploads/2017/09/7a4bbe83da3d9a32-ScreenShot2014-10-14at94017AM.png,1762,7a4bbe83da3d9a32-ScreenShot2014-10-14at94017AM,,,,https://freerunartists.com/wp-content/uploads/2017/09/7a4bbe83da3d9a32-ScreenShot2014-10-14at94017AM.png,,,,,,,,,Uncategorised,,20141014,post,https://freerunartists.com/utopia-nominated-at-the-emmys/
139,"REMASTERED FOR VINYL - JUST FOR YOU !","<h3></h3>
[embed]https://twitter.com/SilvaScreen/status/514071387829714944/photo/1?ref_src=twsrc%5Etfw[/embed]

&nbsp;

No.4 in @MOJOmagazine ‘s top 2013 soundtracks, #Utopia on DOUBLE YELLOW VINYL on pre-order: https://t.co/ZKjSxdUSdK pic.twitter.com/vfEPeMNqc4",,,,,,,,,,,,,,,,,,Uncategorised,,20140922,post,https://freerunartists.com/remastered-for-vinyl-just-for-you/
142,,"https://youtu.be/fBS6MnOMl0k?list=PL5cMp4MJRR_3chSUB1IDvuEIcPq6zj5Y-
<h3 class=""center""></h3>
<h3 class=""center""><a href=""https://www.agenciafreak.com/en/film/ELADIO-AT-THE-INTERDIMENSIONAL-GATE/499"" target=""_blank"">Eladio y la Puerta Interdimensional</a></h3>
<span style=""line-height: 1.7em;"">Funky Spanish comedy short, directed by María Giráldez &amp; Miguel Provencio with music by Cristobal Tapia de Veer.</span>

Please visit Cristo's <a href=""https://www.freerunartists.com/scoring"" target=""_blank"">audiovisual showreel</a> page to see/hear more of his work (Utopia, The Crimson Petal and the White and more) - or enjoy listening to his <a href=""https://www.freerunartists.com/showreel"" target=""_blank"">audio showreel</a>.",https://freerunartists.com/wp-content/uploads/2017/09/142.jpg,142.jpg,/home/freeruna/public_html/wp-content/uploads/2017/09/142.jpg,1711,,,,,https://freerunartists.com/wp-content/uploads/2017/09/142.jpg,,,,,,,,,Uncategorised,,20140917,post,https://freerunartists.com/142/
144,"WOOHOO! 2 more golden statues for Cristo","<h3></h3>
&nbsp;

<section class=""blogs-content content-editor"">
<div>
<h3>The Academy of Canadian Cinema and Television has awarded Cristo with a Prix Gémeaux in the categories:</h3>
<h3>- Best Original Music</h3>
<h3>- Best Musical Theme</h3>
<h3>for his work on the comedy-drama <a href=""https://www.freerunartists.com/serie-noire"" target=""_self"">Série Noire</a>, which took home 5 of the 6 nominations of yesterday's Craft &amp; Design Awards.</h3>
<h3>Merci infiniment à l'académie, on est très ému!</h3>
</div>
</section>",https://freerunartists.com/wp-content/uploads/2017/09/181e6e7d929b25a5-Gmeaux2014.png,181e6e7d929b25a5-Gmeaux2014.png,/home/freeruna/public_html/wp-content/uploads/2017/09/181e6e7d929b25a5-Gmeaux2014.png,1764,181e6e7d929b25a5-Gmeaux2014,,,,https://freerunartists.com/wp-content/uploads/2017/09/181e6e7d929b25a5-Gmeaux2014.png,,,,,,,,,Uncategorised,,20140912,post,https://freerunartists.com/woohoo-2-more-golden-statues-for-cristo/
148,"Loving this animation by Adrian Juan, inspired by Cristo's Utopia OST - Well done!","<h1></h1>
[embed]https://vimeo.com/70831681[/embed]",,,,,,,,,,,,,,,,,,Uncategorised,,20140820,post,https://freerunartists.com/loving-this-animation-by-adrian-juan-inspired-by-cristos-utopia-ost-well-done/
150,"Let's hear your Utopia remix!","&nbsp;

&nbsp;

<section class=""blogs-content content-editor"">
<h4>Enter the contest <a href=""https://www.silvascreen.com/utopia-remix/"" target=""_blank"" rel=""noopener"">here</a></h4>
</section>",https://freerunartists.com/wp-content/uploads/2015/12/Utopia-cover-e1477667249354.png,Utopia-cover-e1477667249354.png,/home/freeruna/public_html/wp-content/uploads/2015/12/Utopia-cover-e1477667249354.png,976,utopia-cover,,"Utopia album cover",,https://freerunartists.com/wp-content/uploads/2015/12/Utopia-cover-e1477667249354.png,,,,,,,,,Uncategorised,,20140805,post,https://freerunartists.com/lets-hear-your-utopia-remix/
152,"!!! THEY.ARE.COMING. !!!","https://vine.co/v/ME2P9tjT6mu

&nbsp;
<h2 class=""left"">UTOPIA OST - remastered for vinyl !</h2>",,,,,,,,,,,,,,,,,,Uncategorised,,20140802,post,https://freerunartists.com/they-are-coming/
154,"SÉRIE NOIRE renewed for second season, yeeha!","&nbsp;

&nbsp;

<section class=""blogs-content content-editor"">
<h4>Great news! The best show on Quebec TV from the past year is returning for a second season.</h4>
<h4>After months of suspense, Ici Radio-Canada Télé – trying saying that weighty name ten times real quick! – announced Monday that Série Noire is not dead. Production will begin on another season of the quirky comic-drama in the winter of 2015.</h4>
<h4>There had been much speculation as to whether or not Rad-Can would renew the show given that its ratings had been less than blockbuster. But it was easily the most critically acclaimed series of the local TV season, became a cult hit with many, created quite the sensation on social media and recently landed a leading 16 nominations for the upcoming Prix Gémeaux Gala, the Quebec TV awards (which takes place Sept. 14).</h4>
Brendan Kelly, The Gazette; read the full article <a href=""https://blogs.montrealgazette.com/2014/07/28/serie-noire-coming-back-for-a-second-season-on-radio-canada/"" target=""_self"">here</a>

</section>",https://freerunartists.com/wp-content/uploads/2017/09/989d0856e55898ce-serie-noire1.jpg,989d0856e55898ce-serie-noire1.jpg,/home/freeruna/public_html/wp-content/uploads/2017/09/989d0856e55898ce-serie-noire1.jpg,1765,989d0856e55898ce-serie-noire1,,,,https://freerunartists.com/wp-content/uploads/2017/09/989d0856e55898ce-serie-noire1.jpg,,,,,,,,,Uncategorised,,20140729,post,https://freerunartists.com/serie-noire-renewed-for-second-season-yeeha/
156,"Thanks for the wonderful review, Peter @syncbubble","<h4>In January 2013 my close friend Claude gave me a text message that read:
“Have you heard about a new show starting on Channel 4 called Utopia? It sounds like the kind of thing you’ll become obsessed with.”
By the end of the first episode I had already emailed the genius composer behind the brilliant music to enquire if I could release an EP by him.
Cristobal has gone on to further greatness since then so it is unlikely he will remember my gentle courting but bloody heck, was his music good.
The soundtrack to Utopia could easily have been released by Warp Records as a stand alone record, it is that wonderful.</h4>
<h4>As you all know, arguably the most important British TV series has just started its second run and we have once again been introduced to Cristobal’s on-the-money sounds.
I was curious if the signature theme and other noticeable compositions would survive for series two.
Thankfully they have, but they have also far exceeded my expectations because of the very delicate re-workings Cristobal has incorporated.
They sound much richer and fuller now, like there is a lot more emotion heard in them, when before they were quite sterile (which is a good thing).</h4>
<h4>The way the score has mirrored the change in mood from first series to second series has been nothing short of superb.
I for one am extremely grateful to Claude for giving me that text message.
Without that little tip, I might have been pathetically late to the Cristobal Tapia de Veer bandwagon.</h4>
<h4>Oh, and FYI – Series two is already a monster.
The biggest game changer of a television series this side of the Atlantic.</h4>
<h4>Peter</h4>
https://syncbubbleblog.com/post/92523624194/in-january-2013-my-close-friend-claude-gave-me-a

www.syncbubble.com",,,,,,,,,,,,,,,,,,Uncategorised,,20140728,post,https://freerunartists.com/thanks-for-the-wonderful-review-peter-syncbubble/
158,"Utopia 2 - album coming soon!","&nbsp;

&nbsp;

<section class=""blogs-content content-editor"">
<h4>Glad to hear that you enjoyed the first two episodes of season 2 - don't miss out on the next four, every Tuesday at 10pm, C4.</h4>
<h4>Meanwhile Cristo is very busy putting the next album together, his eyes already look like the one in the Utopia promo cover...</h4>
<h4>Did you know he adapted some tracks for <a href=""https://www.channel4.com/programmes/utopia/articles/all/episode-3-level-one"">Utopia's 8-bit game</a>?</h4>
</section>",https://freerunartists.com/wp-content/uploads/2015/12/Utopia-cover-e1477667249354.png,Utopia-cover-e1477667249354.png,/home/freeruna/public_html/wp-content/uploads/2015/12/Utopia-cover-e1477667249354.png,976,utopia-cover,,"Utopia album cover",,https://freerunartists.com/wp-content/uploads/2015/12/Utopia-cover-e1477667249354.png,,,,,,,,,Uncategorised,,20140717,post,https://freerunartists.com/utopia-2-album-coming-soon/
160,"UTOPIA 2 starts with a double-bill special on Mon 14/Tue 15 July, 10pm, Channel4 UK",[embed]https://pbs.twimg.com/tweet_video/BrjBy-6CUAAzYEt.mp4[/embed],,,,,,,,,,,,,,,,,,Uncategorised,,20140704,post,https://freerunartists.com/utopia-2-starts-with-a-double-bill-special-on-mon-14tue-15-july-10pm-channel4-uk/
